"Username","Password"
"716","Buffalo"
"Beef on Weck","RoastBeef"
"Bison Dip","WithChips"
"Blizzard","SnowBlizz"
"Blue Cheese","NotRanch"
"Buffalo Bills","JoshAllen"
"Buffalo Sabres","SabreTooth"
"Butter Lamb","LambChop"
"Canalside","Waterfront"
"Cheerios","HoneyNut"
"Lake Effect","SixFeet"
"Logan Berry","AuntRosie"
"Mighty Taco","SuperMighty"
"Niagara Falls","StatePark"
"Paula's Donuts","JellyDonut"
"Perogies","PolishDumpling"
"Sahlens","HotDogs"
"Shark Girl","LavaBoy"
"Sponge Candy","Honeycomb"
"Wings","AnchorBar"
"AKG", "AlbrightKnox"
"Shea's Theater", "PerformingArts"
"Erie Canal", "FifteenMiles"
"Buffalo Bandits", "BanditLand"
"Disco", "WorldsLargest"
